epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,0.98237,0.63364,1.0686,0.78477,0.73566,0.78388,0.47566,1.1957,1.3619,1.0823,4.14E-05,4.14E-05,4.14E-05
113,0.9885,0.63054,1.066,0.78759,0.73401,0.78365,0.4755,1.1949,1.3609,1.0823,4.06E-05,4.06E-05,4.06E-05
114,0.97813,0.62938,1.064,0.79179,0.73095,0.7837,0.47573,1.1948,1.3589,1.0831,3.99E-05,3.99E-05,3.99E-05
115,0.97389,0.62663,1.0605,0.78664,0.73351,0.78321,0.4754,1.1954,1.3641,1.0836,3.91E-05,3.91E-05,3.91E-05
116,0.97313,0.62106,1.0649,0.79165,0.72981,0.78292,0.475,1.1961,1.3668,1.0843,3.83E-05,3.83E-05,3.83E-05
117,0.97841,0.6243,1.0664,0.78854,0.73256,0.78302,0.47482,1.1961,1.3675,1.0845,3.76E-05,3.76E-05,3.76E-05
118,0.98012,0.62929,1.0624,0.78744,0.73281,0.78283,0.47474,1.1959,1.3665,1.0846,3.68E-05,3.68E-05,3.68E-05
119,0.97419,0.62244,1.062,0.78444,0.73688,0.78306,0.47542,1.1959,1.3657,1.0852,3.61E-05,3.61E-05,3.61E-05
120,0.97263,0.61968,1.0555,0.78248,0.73984,0.78325,0.47526,1.1957,1.3641,1.0853,3.53E-05,3.53E-05,3.53E-05
121,0.96334,0.61461,1.0549,0.79211,0.73212,0.78337,0.47542,1.1946,1.3633,1.0854,3.46E-05,3.46E-05,3.46E-05
122,0.96061,0.61433,1.0553,0.792,0.73325,0.78348,0.47578,1.1946,1.363,1.086,3.38E-05,3.38E-05,3.38E-05
123,0.95745,0.6064,1.0545,0.78942,0.73427,0.78359,0.47562,1.1944,1.3633,1.0863,3.31E-05,3.31E-05,3.31E-05
124,0.96284,0.61769,1.0568,0.79288,0.73236,0.78347,0.47589,1.1944,1.3593,1.0873,3.23E-05,3.23E-05,3.23E-05
125,0.95632,0.60976,1.0544,0.79034,0.73403,0.78329,0.47598,1.1935,1.3568,1.0876,3.16E-05,3.16E-05,3.16E-05
126,0.95336,0.60151,1.0485,0.79133,0.73446,0.78387,0.47596,1.193,1.3524,1.0877,3.09E-05,3.09E-05,3.09E-05
127,0.96095,0.6105,1.0538,0.7916,0.73606,0.78364,0.47591,1.1933,1.3473,1.0879,3.01E-05,3.01E-05,3.01E-05
